id;lodgingid;prev_gri;distribution;gri;fd;td
1;20833;20676.22;total;18620.86;2024-05-27;2024-05-27
2;4832;5273.34;patiently;28420.95;2024-05-27;2024-05-26
3;30596;9214.36;worst fooey;21028.25;2024-05-27;2024-05-26
4;24066;32671.54;overturn;24980.33;2024-05-26;2024-05-26
5;1559;22947.15;consensus;15.55;2024-05-27;2024-05-27
6;28201;15657.15;supposing toward;5492.78;2024-05-26;2024-05-26
7;16977;16586.89;tousle joyfully;28036.05;2024-05-27;2024-05-27
8;9574;26883.88;while instead nervous;32308.72;2024-05-27;2024-05-26
9;12614;32308;hence;15640.7;2024-05-27;2024-05-27
10;21322;16420.26;mellow meanwhile key;6681.62;2024-05-26;2024-05-26
