id;lodging_id;average_current_period;tendancy;jhi_change;name;average_previous_period;fd;td
1;23706;incidentally chaff kindly;ultimately aw;the;but;purport incidentally;2024-05-26;2024-05-27
2;3558;if venerated;metabolise offbeat harm;ficlet joint ease;after barring optimistically;athwart exercise flour;2024-05-26;2024-05-26
3;13639;down;wherever beautifully;against;daintily serious edible;potentially fake;2024-05-26;2024-05-26
4;1851;televise prattle demonstrate;hearthside although hike;harsh;count furthermore;lest per;2024-05-27;2024-05-27
5;17021;wrongly spat monotheism;of interviewer athwart;of redirect ruler;except;crowded;2024-05-27;2024-05-27
6;28888;environment abaft;usually;hence;of teepee;veteran why;2024-05-26;2024-05-27
7;11816;marvelous sow;faze strength because;ick given;even hm jubilantly;notwithstanding;2024-05-26;2024-05-27
8;24329;into;against caramelise likewise;and redeploy glacier;accessorize psst unless;behind finally;2024-05-27;2024-05-27
9;6974;burgle than reorganization;meh;become deliberately;supposing those;next;2024-05-26;2024-05-27
10;28331;unimpressively;lounge bell gradient;wordy;unnecessarily;worriedly ack;2024-05-27;2024-05-27
