id;lodging_id;survey_id;nps;rating;custom_score;fd;td
1;24289;when despite;2950.4;18888.47;18089.93;2024-05-27;2024-05-26
2;21255;ugh;16464.79;656.25;1918.79;2024-05-27;2024-05-27
3;2645;amused;24478.83;10190.33;2432.28;2024-05-26;2024-05-27
4;16020;amongst fray identical;25369.88;21146.91;29737.94;2024-05-26;2024-05-27
5;24395;well-to-do gadzooks whether;29943.14;10590.23;10294.01;2024-05-27;2024-05-27
6;6194;around;10393.77;19035;26306.03;2024-05-27;2024-05-27
7;27682;yippee and er;28413.63;19416.47;4267.79;2024-05-27;2024-05-27
8;20532;tippex yuck wobbly;16288.57;666.34;1113.85;2024-05-27;2024-05-26
9;22289;eyeglasses reproachfully;31675.4;2800.68;20306.38;2024-05-26;2024-05-27
10;30635;yearly;1502.77;18959.55;9907;2024-05-26;2024-05-27
