id;source;lodging_id;fd;td;respondable_counts_positive;respondable_counts_negative;responded_counts_positive;responded_counts_negative
1;by even airmail;15488;2024-06-12;2024-06-12;30523;31351;8581;18420
2;impairment delirious literature;22140;2024-06-12;2024-06-11;8086;15530;23031;1571
3;billboard aunt frightfully;24915;2024-06-11;2024-06-12;31127;10619;6277;20834
4;phew spectacles;6576;2024-06-12;2024-06-12;870;23689;17402;8501
5;whenever yowza;12062;2024-06-11;2024-06-12;27882;9960;32174;1241
6;wrathful restrict;5681;2024-06-12;2024-06-12;8437;25922;5840;28567
7;finally as;16886;2024-06-12;2024-06-12;12404;13313;9003;16162
8;downright gnaw whenever;31296;2024-06-11;2024-06-12;12405;17604;29979;23515
9;on;29758;2024-06-12;2024-06-12;4366;6542;1690;27924
10;console who;1572;2024-06-12;2024-06-12;12573;14167;6407;2745
