id;survey_id;lodging_id;jhi_date;overallsatsifaction;custom_score;plantorevisit;jhi_label
1;coast finally;29811;2024-05-27T00:44:49;537.62;17042.86;true;eek
2;defeat;12839;2024-05-26T16:44:29;23811.09;2534.14;false;unnecessarily
3;rewire fret;29263;2024-05-26T16:20:39;27677.34;27856.72;true;before
4;ha extremely;24248;2024-05-26T12:59:17;10711.04;27719.14;false;adventurous till
5;nippy phew commonly;15098;2024-05-26T16:04:43;15724.75;18763.77;false;practise
6;duh over;8970;2024-05-26T18:36:15;21638.88;26556.2;false;ouch standardize
7;but lazily;4220;2024-05-26T19:36:26;6052.25;10367.85;false;through
8;present furthermore likely;25971;2024-05-27T07:38:35;12517.1;28199.3;true;incidentally codepage jovially
9;lampoon;4557;2024-05-27T02:02:37;23196.09;24611.7;false;privilege
10;whimper suspiciously;3676;2024-05-27T07:40:22;32382.42;14072.34;false;filter cheerfully
