id;overall_score_enabled;languages;out_of;name;active;pids;jhi_primary
6adc8249-8e6b-434d-84b2-b53cc0adcc13;true;moonlight;11326;instead astonishing;true;indeed powerful;false
6395dc26-c23e-49ce-9a68-4342d53bdf74;true;given whoa;20455;mister;true;melt;true
fc3bbd4e-aa63-452b-90bb-d689adb7ea84;true;after self-assured;24654;pointed reputation;true;wherever;false
5553e508-4616-4bce-9c2b-92d27a73e553;false;whenever;24920;tight tender;false;pluralize thatch knowledgeably;true
8ac26339-edef-4ded-a5fd-fc36873de67d;false;classic glamorous yippee;20096;confused;false;by;false
591704fa-18bb-425d-9420-8ab97337f38b;true;pro till;14277;tint transit;true;until unaccountably so;true
792afcd9-a0db-46a8-ba27-2315a15c051f;true;consequently daintily er;12823;failing less;true;slushy than a;true
9710fcc8-1ccc-415d-b148-b8da735615af;true;jubilant wry;3660;appreciation co-producer;false;quarrelsome major inside;true
edf346ac-7f2d-44dd-b8b6-90ba41c29f59;true;healthy ew;17613;epoch beetle;false;tactile;false
b610423c-c00b-4b59-8a49-a4800b4e365e;false;worth per in;27925;exemplify since;false;leaven violently;true
